chanNo	frequency [MHz]	rmsStokesI [uJy/beam]	rmsStokesV [uJy/beam]	maxStokesI [uJy/beam]	flagged	xyPhaseCorr	polAngleCorr
1	884.8398	125.5706	35.2581	281929.4631	False	nan	nan
2	894.7666	98.6927	22.6739	284388.4826	False	nan	nan
3	904.7979	84.6469	16.9719	286819.0408	False	nan	nan
4	914.8291	70.489	14.9799	282141.7749	False	nan	nan
5	924.8604	66.1983	14.7394	275075.5847	False	nan	nan
6	934.8916	112.6584	26.1656	266676.3961	False	nan	nan
7	944.8184	147.024	51.2256	255196.6906	False	nan	nan
8	954.7451	93.0148	28.058	251000.464	False	nan	nan
9	964.7764	58.0859	15.1884	247304.2458	False	nan	nan
10	974.8076	51.641	13.8203	241006.0763	False	nan	nan
11	984.8389	49.7488	13.8027	236012.1757	False	nan	nan
12	994.8701	47.5769	13.7508	229603.8866	False	nan	nan
13	1004.7969	46.1761	14.0817	224716.5442	False	nan	nan
14	1014.7236	43.2484	13.914	216887.027	False	nan	nan
15	1024.7549	41.2727	14.0895	210730.6719	False	nan	nan
16	1034.7861	38.9561	14.0828	203437.2538	False	nan	nan
17	1044.8174	37.0804	14.1291	199062.0494	False	nan	nan
18	1054.8486	35.0815	13.8802	192400.9025	False	nan	nan
19	1064.7754	33.8946	13.9617	187447.5628	False	nan	nan
20	1074.7021	31.8458	13.665	180926.5912	False	nan	nan
21	1084.7334	31.4607	14.3184	176175.0728	False	nan	nan
22	1094.7646	29.1364	15.0515	168681.8898	False	nan	nan
23	1104.7959	27.133	16.3782	162394.8365	False	nan	nan
24	1114.8271	27.4346	18.271	155384.3766	False	nan	nan
25	1124.7539	28.9109	20.9704	151135.1466	False	nan	nan
26	1134.6807	31.6422	24.437	146340.9513	False	nan	nan
27	1144.7119	59.0425	45.966	142667.3532	False	nan	nan
28	1154.7432	46.2928	38.5949	135641.0086	False	nan	nan
29	1164.7744	81.4794	71.0832	131985.3514	False	nan	nan
30	nan	nan	nan	nan	True	nan	nan
31	1184.7324	241.2453	224.6463	117462.7095	False	nan	nan
32	1194.6592	194.9016	184.0614	115678.2582	False	nan	nan
33	nan	nan	nan	nan	True	nan	nan
34	1214.7217	909.9237	880.0622	102198.8913	False	nan	nan
35	nan	nan	nan	nan	True	nan	nan
36	1234.7842	438.3572	420.2737	86083.9486	False	nan	nan
37	1244.7109	231.6226	224.2663	95573.1273	False	nan	nan
38	1254.6377	123.0012	116.7117	94417.3709	False	nan	nan
39	nan	nan	nan	nan	True	nan	nan
40	nan	nan	nan	nan	True	nan	nan
41	1284.7314	497.2571	492.9578	76016.6645	False	nan	nan
42	1294.7627	70.8411	67.3798	81314.3775	False	nan	nan
43	1304.7939	31.8486	29.3746	82053.2367	False	nan	nan
44	1314.7207	24.3803	22.1072	80488.3242	False	nan	nan
45	1324.6475	20.1457	18.0093	78534.849	False	nan	nan
46	1334.6787	17.5842	15.4769	76681.4128	False	nan	nan
47	1344.71	15.5658	13.4144	75089.6484	False	nan	nan
48	1354.7412	14.9038	12.2936	74168.7119	False	nan	nan
49	1364.7725	14.7012	12.1999	71917.5637	False	nan	nan
50	1374.6992	14.7384	12.3283	69571.346	False	nan	nan
51	1384.626	14.5531	12.2875	67110.0542	False	nan	nan
52	1394.6572	14.3262	12.1675	65720.1409	False	nan	nan
53	1404.6885	14.1554	12.0771	63854.9179	False	nan	nan
54	1414.7197	14.2356	12.1404	62358.4427	False	nan	nan
55	1424.751	14.0554	12.1463	60718.0037	False	nan	nan
56	1434.6777	14.2211	12.3095	59632.6441	False	nan	nan
57	1444.6045	14.0323	12.1618	57849.1054	False	nan	nan
58	1454.6357	14.0631	12.2643	56560.4307	False	nan	nan
59	1464.667	13.9657	12.2486	54928.0569	False	nan	nan
60	1474.6982	14.026	12.3379	53668.9758	False	nan	nan
61	1484.7295	13.9768	12.3967	52001.7743	False	nan	nan
62	1494.6562	14.3952	12.9133	50552.4464	False	nan	nan
63	1504.583	16.174	14.9754	48437.9977	False	nan	nan
64	1514.6143	21.8206	20.7195	47596.8719	False	nan	nan
65	1524.6455	40.2934	38.9167	45652.5423	False	nan	nan
66	1534.6768	188.391	184.0344	40648.0618	False	nan	nan
67	1544.708	827.9083	820.8878	29273.374	False	nan	nan
68	1554.6348	98.1297	95.4947	40111.9553	False	nan	nan
69	1564.5615	125.3712	123.0369	38930.1851	False	nan	nan
70	1574.5928	9104.8751	9881.2	46273.2241	False	nan	nan
71	1584.624	88.1243	85.7938	37448.5329	False	nan	nan
72	1594.6553	46.0652	44.6559	36852.5572	False	nan	nan
73	1604.6865	38.1123	36.9415	35297.9414	False	nan	nan
74	1614.6133	25.9257	24.9006	35230.5695	False	nan	nan
75	1624.54	59.9711	58.8309	33938.4079	False	nan	nan
76	1634.5713	17.1653	16.3491	33635.3742	False	nan	nan
77	1644.6025	14.0173	13.0982	34249.7826	False	nan	nan
78	1654.6338	14.2794	13.2112	34244.3921	False	nan	nan
79	1664.665	34.0861	32.8852	32896.325	False	nan	nan
80	nan	nan	nan	nan	True	nan	nan
